Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1974-06-22,Germany DR,West Germany,1,0,1522.8211437973773,1665.6959875501632,First round
1974-06-22,Zaire,Brazil,0,3,1429.5164734681305,1739.599136488282,First round
1974-06-22,Australia,Chile,0,0,1461.0012786931431,1499.5338468041,First round
1974-06-23,Argentina,Haiti,4,1,1507.3489418796212,1440.6774710020104,First round
1974-06-23,Sweden,Uruguay,3,0,1554.4693225427068,1520.893679479119,First round
1974-06-23,Poland,Italy,2,1,1542.812165827823,1606.0132730766595,First round
1974-06-23,Bulgaria,Netherlands,1,4,1410.9500957142202,1494.0487257341138,First round
1974-06-26,Netherlands,Argentina,4,0,1515.4766127746614,1530.0408518755123,Second round
1974-06-26,Sweden,Poland,0,1,1579.771837452426,1561.691000367467,Second round
1974-06-26,Brazil,Germany DR,1,0,1747.6457417965198,1545.0533661010834,Second round
1974-06-26,Yugoslavia,West Germany,0,2,1576.4192681888328,1643.4637652464571,Second round
1974-06-30,Argentina,Brazil,1,2,1496.700221052423,1755.2470134343341,Second round
1974-06-30,Poland,Yugoslavia,2,1,1578.5229028223855,1556.9938962368985,Second round
1974-06-30,West Germany,Sweden,4,2,1662.8891371983914,1562.9399349975076,Second round
1974-06-30,Germany DR,Netherlands,0,2,1537.452094463269,1548.8172435977506,Second round
1974-07-03,Sweden,Yugoslavia,2,1,1545.659821228118,1541.9840766158406,Second round
1974-07-03,Argentina,Germany DR,1,1,1490.806628247037,1514.2368912501436,Second round
1974-07-03,Netherlands,Brazil,2,0,1572.032446810876,1761.1406062397202,Second round
1974-07-03,Poland,West Germany,0,1,1593.5327224434434,1680.169250967781,Second round
1974-07-06,Brazil,Poland,0,1,1725.2309958178832,1581.4417933888542,Third-place match
1974-07-07,Netherlands,West Germany,1,2,1607.942057232713,1692.2601800223702,Final
1978-06-01,West Germany,Poland,0,0,1704.4516650752732,1603.7096981687596,First round
1978-06-02,Argentina,Hungary,2,1,1491.8839989896544,1626.8253551645262,First round
1978-06-02,Tunisia,Mexico,3,1,1500.0,1406.9192736131768,First round
1978-06-02,Italy,France,2,1,1587.1344385370155,1504.3962878557213,First round
1978-06-03,Austria,Spain,2,1,1520.1901196000983,1479.2537992109249,First round
1978-06-03,Sweden,Brazil,1,1,1561.490553248397,1702.9630910379778,First round
1978-06-03,Netherlands,IR Iran,3,0,1595.75057217981,1500.0,First round
1978-06-03,Peru,Scotland,3,1,1477.6029841977754,1478.3384696871249,First round
1978-06-06,Poland,Tunisia,1,0,1608.2232468028042,1517.7197512913876,First round
1978-06-06,West Germany,Mexico,6,0,1699.9381164412287,1389.1995223217891,First round
1978-06-06,Italy,Hungary,3,1,1599.3946353431993,1604.9057785132834,First round
1978-06-06,Argentina,France,2,1,1513.8035756408972,1492.1360910495375,First round
1978-06-07,Scotland,IR Iran,1,1,1454.2876642252988,1479.5269814846395,First round
1978-06-07,Netherlands,Peru,0,0,1616.2235906951705,1501.6537896596014,First round
1978-06-07,Brazil,Spain,0,0,1696.7857353395948,1465.130310874537,First round
1978-06-07,Austria,Sweden,1,0,1534.3136079364863,1567.66790894678,First round
1978-06-10,Italy,Argentina,1,0,1623.7752997001724,1528.807042695052,First round
1978-06-10,West Germany,Tunisia,0,0,1711.396149656666,1505.7958119091104,First round
1978-06-10,Poland,Mexico,3,1,1620.1471861850814,1377.7414891063518,First round
1978-06-10,France,Hungary,3,1,1477.1326239953828,1580.5251141563103,First round
1978-06-11,Brazil,Austria,1,0,1687.4602442163252,1551.8449287958285,First round
1978-06-11,Peru,IR Iran,4,1,1506.74664833672,1478.3667082656675,First round
1978-06-11,Spain,Sweden,1,0,1474.4558019978065,1550.1365880874378,First round
1978-06-11,Scotland,Netherlands,3,2,1455.4479374442708,1611.130732018052,First round
1978-06-14,Argentina,Poland,2,0,1517.074731312857,1629.677450747231,Second round
